OBJECTID,PIDN,CITY_TEXT,NUMBER,STREET,GIS_Acreag,LANDVALUE,BLDGVALUE,LANDUSE_TE,YR_BUILT,score2
20,"001-00-00-009.00",VILLA HILLS,"3126",AMSTERDAM,".330",15000,25000,SINGLE FAMILY,"1930",2.1875
21,"001-00-00-010.00",VILLA HILLS,"3124",AMSTERDAM,".550",15000,150000,SINGLE FAMILY,"1950",2.1875
22,"001-00-00-011.00",VILLA HILLS,"3118",AMSTERDAM,".360",15000,24000,SINGLE FAMILY,"1950",2.1875
23,"001-00-00-012.00",VILLA HILLS,"3112",AMSTERDAM,".210",15000,39500,SINGLE FAMILY,"1950",2.1875
24,"001-00-00-013.00",VILLA HILLS,"3110",AMSTERDAM,"5.170",50000,193400,SINGLE FAMILY,"1963",2.25
25,"001-00-00-014.00",VILLA HILLS,"3111",AMSTERDAM,".060",2000,0,VACANT LAND,"0000",2.25
26,"001-00-00-015.00",VILLA HILLS,"3020",AMSTERDAM,"34.200",1,0,PUBLIC UTILITIES,"0000",2.25
27,"001-00-00-015.01",VILLA HILLS,3020-A,AMSTERDAM,"2.750",3900,0,NONBUILDABLE LOT/LAND,"0000",2.25
28,"001-00-00-016.00",VILLA HILLS,"3012",AMSTERDAM,"18.270",24300,130000,W/RESIDENCE,"1930",2.1875
29,"001-00-00-017.00",VILLA HILLS,"3001",AMSTERDAM,".840",25000,66700,SINGLE FAMILY,"1899",2.1875
30,"001-00-00-019.00",ERLANGER,"2999",AMSTERDAM,"153.080",765500,60834500,PUBLIC UTILITIES,"0000",2.25
31,"001-00-00-019.01",ERLANGER,"1495",DOLWICK,"4.940",745000,2555000,GARAGE,"0000",2.25
32,"001-00-00-019.02",ERLANGER,,DOLWICK,".660",82000,0,VACANT LAND,"0000",2.25
33,"001-00-00-019.03",ERLANGER,"3033",AMSTERDAM,"4.620",0,0,NOT TAXED IN KENTON,"0000",2.25
34,"001-00-00-019.04",ERLANGER,,DOLWICK,"3.550",502000,30000,PAVED LOT,"0000",2.25
35,"001-00-00-020.01",VILLA HILLS,,DRY CREEK,"32.540",618000,0,VACANT LAND,"0000",2.25
36,"001-00-00-021.01",VILLA HILLS,"2832",DEERFIELD,".240",45000,254500,SINGLE FAMILY,"1989",2.1875
37,"001-00-00-021.02",VILLA HILLS,"2813",DEERFIELD,"1.540",50000,286600,SINGLE FAMILY,"1989",2.1875
38,"001-00-00-021.03",VILLA HILLS,"2840",DEERFIELD,".370",45000,268600,SINGLE FAMILY,"1989",2.1875
39,"001-00-00-021.04",VILLA HILLS,"2836",DEERFIELD,".210",45000,280000,SINGLE FAMILY,"1989",2.1875
40,"001-00-00-021.05",VILLA HILLS,"1040",BROOKVILLE,".330",45000,329800,SINGLE FAMILY,"1989",2.1875
41,"001-00-00-021.06",VILLA HILLS,"1044",BROOKVILLE,".430",45000,263000,SINGLE FAMILY,"1989",2.1875
42,"001-00-00-021.07",VILLA HILLS,"1020",BROOKVILLE,".440",45000,276200,SINGLE FAMILY,"1989",2.125
43,"001-00-00-021.08",VILLA HILLS,"1009",BROOKVILLE,".490",45000,254000,SINGLE FAMILY,"1989",2.1875
44,"001-00-00-021.09",VILLA HILLS,"1013",BROOKVILLE,".470",45000,299500,SINGLE FAMILY,"1989",2.125
45,"001-00-00-021.10",VILLA HILLS,"1041",BROOKVILLE,".310",45000,308400,SINGLE FAMILY,"1989",2.1875
46,"001-00-00-021.11",VILLA HILLS,"2804",DEERFIELD,".280",45000,225000,SINGLE FAMILY,"1988",2.1875
47,"001-00-00-021.12",VILLA HILLS,"2841",DEERFIELD,".500",45000,253200,SINGLE FAMILY,"1989",2.1875
48,"001-00-00-021.13",VILLA HILLS,"2837",DEERFIELD,"2.040",45000,256900,SINGLE FAMILY,"1988",2.1875
49,"001-00-00-021.14",VILLA HILLS,"2833",DEERFIELD,".710",45000,254500,SINGLE FAMILY,"1988",2.1875
50,"001-00-00-021.15",VILLA HILLS,"2825",DEERFIELD,".770",45000,297500,SINGLE FAMILY,"1988",2.1875
51,"001-00-00-021.16",VILLA HILLS,"2809",DEERFIELD,"1.100",50000,247900,SINGLE FAMILY,"1988",2.1875
52,"001-00-00-021.17",VILLA HILLS,"2805",DEERFIELD,".260",45000,306000,SINGLE FAMILY,"1989",2.1875
53,"001-00-00-021.18",VILLA HILLS,"2801",DEERFIELD,".310",45000,255000,SINGLE FAMILY,"1989",2.1875
54,"001-00-00-021.19",VILLA HILLS,"2828",DEERFIELD,".250",45000,314900,SINGLE FAMILY,"1988",2.1875
55,"001-00-00-021.20",VILLA HILLS,"2821",DEERFIELD,".940",45000,254500,SINGLE FAMILY,"1988",2.1875
56,"001-00-00-021.21",VILLA HILLS,"2820",DEERFIELD,".270",45000,267500,SINGLE FAMILY,"1989",2.1875
57,"001-00-00-021.22",VILLA HILLS,"2829",DEERFIELD,".670",45000,254500,SINGLE FAMILY,"1988",2.1875
58,"001-00-00-021.23",VILLA HILLS,"1025",BROOKVILLE,".280",45000,263000,SINGLE FAMILY,"1988",2.125
59,"001-00-00-021.24",VILLA HILLS,"1033",BROOKVILLE,".290",45000,266400,SINGLE FAMILY,"1989",2.125
60,"001-00-00-021.25",VILLA HILLS,"1045",BROOKVILLE,".300",45000,297400,SINGLE FAMILY,"1989",2.1875
61,"001-00-00-021.26",VILLA HILLS,"1021",BROOKVILLE,".310",45000,299500,SINGLE FAMILY,"1988",2.125
62,"001-00-00-021.27",VILLA HILLS,"1028",BROOKVILLE,".430",45000,275300,SINGLE FAMILY,"1989",2.1875
63,"001-00-00-021.28",VILLA HILLS,"1052",BROOKVILLE,".750",45000,274800,SINGLE FAMILY,"1989",2.1875
64,"001-00-00-021.29",VILLA HILLS,"2817",DEERFIELD,".300",45000,228200,SINGLE FAMILY,"1990",2.1875
65,"001-00-00-021.30",VILLA HILLS,"1049",BROOKVILLE,".320",45000,254500,SINGLE FAMILY,"1990",2.1875
66,"001-00-00-021.31",VILLA HILLS,"2800",DEERFIELD,".320",45000,248400,SINGLE FAMILY,"1989",2.1875
67,"001-00-00-021.32",VILLA HILLS,"1005",BROOKVILLE,".270",45000,395000,SINGLE FAMILY,"1990",2.125
68,"001-00-00-021.33",VILLA HILLS,"1037",BROOKVILLE,".310",45000,282200,SINGLE FAMILY,"1990",2.125
69,"001-00-00-021.34",VILLA HILLS,"1000",BROOKVILLE,".510",45000,386200,SINGLE FAMILY,"1990",2.125
70,"001-00-00-021.35",VILLA HILLS,"1001",BROOKVILLE,".360",45000,270500,SINGLE FAMILY,"1990",2.125
71,"001-00-00-021.36",VILLA HILLS,"1024",BROOKVILLE,".430",45000,275300,SINGLE FAMILY,"1989",2.125
72,"001-00-00-021.37",VILLA HILLS,"1017",BROOKVILLE,".320",45000,277400,SINGLE FAMILY,"1990",2.125
73,"001-00-00-021.38",VILLA HILLS,"1029",BROOKVILLE,".280",45000,323000,SINGLE FAMILY,"1990",2.125
74,"001-00-00-021.39",VILLA HILLS,"1048",BROOKVILLE,".510",45000,275300,SINGLE FAMILY,"1991",2.1875
75,"001-00-00-021.40",VILLA HILLS,"1053",BROOKVILLE,"2.390",45000,272500,SINGLE FAMILY,"1990",2.1875
76,"001-00-00-021.41",VILLA HILLS,"1036",BROOKVILLE,".290",45000,281200,SINGLE FAMILY,"1991",2.1875
77,"001-00-00-021.42",VILLA HILLS,"1032",BROOKVILLE,".400",45000,297900,SINGLE FAMILY,"1991",2.1875
78,"001-00-00-021.43",VILLA HILLS,"1056",BROOKVILLE,"4.160",45000,248400,SINGLE FAMILY,"1991",2.1875
79,"001-00-00-021.44",VILLA HILLS,"1010",BROOKVILLE,".380",45000,281200,SINGLE FAMILY,"1991",2.125
80,"001-00-00-022.01",VILLA HILLS,"2812",AMSTERDAM,"1.610",60000,203500,SINGLE FAMILY,"1988",2.1875
81,"001-00-00-024.00",VILLA HILLS,"2500",PROSPECT POINT,"84.770",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",2.3125
82,"001-00-00-024.01",VILLA HILLS,900-935,HIGHKNOLL,"13.720",1029000,8600000,40 OR MORE UNIT APARTMENTS,"0000",2.125
83,"001-00-00-025.00",VILLA HILLS,"1033",RADIO,"5.900",168000,115300,SINGLE FAMILY,"1984",2.1875
84,"001-00-00-026.00",VILLA HILLS,"1100",AMSTERDAM,"18.320",1927000,100000,TELECOM TOWER,"0000",2.1875
85,"001-00-00-026.03",VILLA HILLS,"2790",AMSTERDAM,"4.080",650000,0,VACANT LAND,"0000",2.1875
86,"001-00-00-027.02",VILLA HILLS,"2732",AMSTERDAM,"1.300",150000,225500,SINGLE FAMILY,"1986",2.1875
87,"001-00-00-027.03",VILLA HILLS,"2728",AMSTERDAM,".980",85000,162300,SINGLE FAMILY,"1950",2.1875
88,"001-00-00-027.04",VILLA HILLS,"2772",AMSTERDAM,".730",179000,80000,PAVED LOT,"0000",2.1875
89,"001-00-00-027.06",VILLA HILLS,"2772",AMSTERDAM,"11.560",850000,10450000,SCHOOL,"0000",2.1875
90,"001-00-00-027.10",VILLA HILLS,"1029",LAUREN,".350",100000,361000,SINGLE FAMILY,"1996",2.1875
91,"001-00-00-027.11",VILLA HILLS,"1033",LAUREN,".330",100000,585300,SINGLE FAMILY,"2007",2.1875
92,"001-00-00-027.12",VILLA HILLS,"1037",LAUREN,".370",83000,0,VACANT LAND,"0000",2.1875
93,"001-00-00-027.13",VILLA HILLS,"1041",LAUREN,"1.100",150000,408300,SINGLE FAMILY,"2014",2.1875
94,"001-00-00-027.14",VILLA HILLS,"1028",LAUREN,".670",100000,978600,SINGLE FAMILY,"2016",2.1875
95,"001-00-00-027.16",VILLA HILLS,"2738",AMSTERDAM,"2.640",100000,141500,SINGLE FAMILY,"2006",2.1875
96,"001-00-00-028.01",VILLA HILLS,"1013",LAUREN,".340",100000,352100,SINGLE FAMILY,"1990",2.1875
97,"001-00-00-028.02",VILLA HILLS,"1025",LAUREN,".380",100000,222600,SINGLE FAMILY,"1990",2.1875
98,"001-00-00-028.03",VILLA HILLS,"1021",LAUREN,".600",100000,359100,SINGLE FAMILY,"1990",2.1875
99,"001-00-00-028.04",VILLA HILLS,"1004",LAUREN,".330",100000,350800,SINGLE FAMILY,"1991",2.1875
100,"001-00-00-028.05",VILLA HILLS,"1001",LAUREN,".440",100000,235500,SINGLE FAMILY,"2002",2.1875
101,"001-00-00-028.06",VILLA HILLS,"1005",LAUREN,".430",100000,290500,SINGLE FAMILY,"1991",2.1875
102,"001-00-00-028.07",VILLA HILLS,"1009",LAUREN,".360",100000,222100,SINGLE FAMILY,"1994",2.1875
103,"001-00-00-028.08",VILLA HILLS,"1017",LAUREN,".480",100000,322100,SINGLE FAMILY,"1992",2.1875
104,"001-00-00-028.09",VILLA HILLS,"1024",LAUREN,".360",100000,253800,SINGLE FAMILY,"1993",2.1875
105,"001-00-00-028.10",VILLA HILLS,"1008",LAUREN,".330",100000,309600,SINGLE FAMILY,"1998",2.1875
106,"001-00-00-028.11",VILLA HILLS,"1000",LAUREN,".340",100000,347000,SINGLE FAMILY,"1998",2.1875
107,"001-00-00-029.00",VILLA HILLS,"2500",AMSTERDAM,"100.040",9188000,12030000,REHAB/REMODEL,"0000",3.5
108,"001-00-00-029.04",VILLA HILLS,,AMSTERDAM,"8.310",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",2.3125
109,"001-00-00-029.05",VILLA HILLS,"1005",WALBURG,".300",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",3.375
110,"001-00-00-029.06",VILLA HILLS,,WHITE PINE,".350",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",2.1875
111,"001-00-00-029.07",VILLA HILLS,"2640",RIVER BIRCH,"4.140",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",2.1875
112,"001-00-00-029.08",VILLA HILLS,,ALLEGHENY,".030",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",2.1875
113,"001-00-00-029.09",VILLA HILLS,,ALLEGHENY,".030",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",2.1875
114,"001-00-00-029.10",VILLA HILLS,,WHITE PINE,".320",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",2.1875
115,"001-00-00-029.11",VILLA HILLS,"2577",HONEYLOCUST,"5.320",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",2.25
116,"001-00-00-029.12",VILLA HILLS,"1100",WALBURG,"2.200",0,0,HOMEOWNERS ASSOCIATION PROPERTY,"0000",2.1875
117,"001-00-00-030.00",VILLA HILLS,"881",RIVER,".810",15000,75000,SINGLE FAMILY,"1955",2.1875
118,"001-00-00-031.00",VILLA HILLS,"955",RIVER,"5.560",21000,0,VACANT LAND,"0000",2.25
119,"001-00-00-031.01",VILLA HILLS,"959",RIVER,"2.420",10000,0,VACANT LAND,"0000",2.1875
120,"001-00-00-034.00",VILLA HILLS,"925",RIVER,"4.010",34300,0,VACANT LAND,"0000",2.25
121,"001-00-00-035.00",VILLA HILLS,"905",RIVER,"4.100",57000,0,VACANT LAND,"0000",2.1875
122,"001-00-00-036.00",VILLA HILLS,"901",RIVER,"3.510",47000,0,VACANT LAND,"0000",2.1875
123,"001-00-00-036.01",VILLA HILLS,"910",RIVER,".920",3700,0,VACANT LAND,"0000",2.1875
124,"001-00-00-037.00",VILLA HILLS,"3",LARKWOOD,"2.080",20000,0,VACANT LAND,"0000",2.1875
125,"001-00-00-038.00",VILLA HILLS,"866",RIVER,"2.180",38000,0,VACANT LAND,"0000",2.1875
126,"001-00-00-039.00",VILLA HILLS,"892",RIVER,".570",5200,0,VACANT LAND,"0000",2.1875
127,"001-00-00-040.00",VILLA HILLS,"912",RIVER,".910",6700,0,VACANT LAND,"0000",2.1875
128,"001-00-00-041.00",VILLA HILLS,"914",RIVER,"1.920",1000,0,VACANT LAND,"0000",2.25
129,"001-00-01-001.00",VILLA HILLS,"1008",WALBURG,".590",175000,628000,SINGLE FAMILY,"2021",2.25
130,"001-00-01-002.00",VILLA HILLS,"1012",WALBURG,".370",170000,0,VACANT LAND,"0000",2.25
131,"001-00-01-003.00",VILLA HILLS,"1016",WALBURG,".290",160600,1061800,SINGLE FAMILY,"2022",2.25
132,"001-00-01-004.00",VILLA HILLS,"1020",WALBURG,".320",180000,819900,SINGLE FAMILY,"2022",2.25
133,"001-00-01-005.00",VILLA HILLS,"2651",BUCKEYE,".300",151000,648000,SINGLE FAMILY,"2022",2.25
134,"001-00-01-006.00",VILLA HILLS,"2655",BUCKEYE,".270",140600,609300,SINGLE FAMILY,"2022",2.25
135,"001-00-01-007.00",VILLA HILLS,"2659",BUCKEYE,".300",168300,540600,SINGLE FAMILY,"2022",2.25
136,"001-00-01-008.00",VILLA HILLS,"2663",BUCKEYE,".340",168400,750200,SINGLE FAMILY,"2023",2.25
137,"001-00-01-009.00",VILLA HILLS,"2667",BUCKEYE,".400",168500,616500,SINGLE FAMILY,"2022",2.25
138,"001-00-01-010.00",VILLA HILLS,"2672",BUCKEYE,".410",110000,0,VACANT LAND,"0000",2.25
139,"001-00-01-011.00",VILLA HILLS,"2668",BUCKEYE,".370",100000,1135600,SINGLE FAMILY,"2021",2.1875
140,"001-00-01-012.00",VILLA HILLS,"2664",BUCKEYE,".280",165000,500000,SINGLE FAMILY,"2022",2.25
141,"001-00-01-013.00",VILLA HILLS,"2660",BUCKEYE,".280",148100,651900,SINGLE FAMILY,"2021",2.25
142,"001-00-01-014.00",VILLA HILLS,"2656",BUCKEYE,".260",168500,589400,SINGLE FAMILY,"2022",2.25
143,"001-00-01-015.00",VILLA HILLS,"2652",BUCKEYE,".270",142800,757200,SINGLE FAMILY,"2021",2.25
144,"001-00-01-016.00",VILLA HILLS,"2648",BUCKEYE,".280",165000,879500,SINGLE FAMILY,"2021",2.25
145,"001-00-01-017.00",VILLA HILLS,"2644",BUCKEYE,".300",142800,788200,SINGLE FAMILY,"2020",2.25
146,"001-00-01-020.00",VILLA HILLS,"1028",WALBURG,".270",180000,724300,SINGLE FAMILY,"2023",2.25
147,"001-00-01-021.00",VILLA HILLS,"1032",WALBURG,".270",110000,0,VACANT LAND,"0000",2.25
148,"001-00-01-022.00",VILLA HILLS,"1036",WALBURG,".300",110000,0,VACANT LAND,"0000",2.25
149,"001-00-01-023.00",VILLA HILLS,"1040",WALBURG,".320",100000,850000,SINGLE FAMILY,"2021",2.25
150,"001-00-01-024.00",VILLA HILLS,"1049",WALBURG,".440",164200,610700,SINGLE FAMILY,"2021",2.25
151,"001-00-01-025.00",VILLA HILLS,"1045",WALBURG,".360",110000,0,VACANT LAND,"0000",2.25
152,"001-00-01-026.00",VILLA HILLS,"1041",WALBURG,".380",110000,0,VACANT LAND,"0000",2.25
153,"001-00-01-027.00",VILLA HILLS,"1037",WALBURG,".410",165000,986300,SINGLE FAMILY,"2022",2.25
154,"001-00-01-028.00",VILLA HILLS,"1033",WALBURG,".390",100000,778000,SINGLE FAMILY,"2021",2.25
155,"001-00-01-029.00",VILLA HILLS,"1029",WALBURG,".380",160600,649800,SINGLE FAMILY,"2020",2.3125
156,"001-00-01-030.00",VILLA HILLS,"1025",WALBURG,".370",160600,596200,SINGLE FAMILY,"2021",2.3125
157,"001-00-01-031.00",VILLA HILLS,"1021",WALBURG,".330",163400,780300,SINGLE FAMILY,"2023",2.3125
158,"001-00-01-032.00",VILLA HILLS,"1017",WALBURG,".330",163400,727500,SINGLE FAMILY,"2023",3.3125
159,"001-00-01-033.00",VILLA HILLS,"1013",WALBURG,".370",163200,1301700,SINGLE FAMILY,"2023",3.3125
160,"001-00-01-034.00",VILLA HILLS,"1009",WALBURG,".370",170000,1295000,SINGLE FAMILY,"2023",3.375
161,"001-00-01-035.00",VILLA HILLS,"2668",WILLOW OAK,".170",100000,524900,SINGLE FAMILY,"2023",2.1875
162,"001-00-01-036.00",VILLA HILLS,"2670",WILLOW OAK,".160",100000,479500,SINGLE FAMILY,"2022",2.1875
163,"001-00-01-037.00",VILLA HILLS,"2672",WILLOW OAK,".160",100000,598100,SINGLE FAMILY,"2022",2.1875
164,"001-00-01-038.00",VILLA HILLS,"2674",WILLOW OAK,".170",100000,475000,SINGLE FAMILY,"2022",2.1875
165,"001-00-01-039.00",VILLA HILLS,"1083",RED MAPLE,".130",100000,539900,SINGLE FAMILY,"2022",2.1875
166,"001-00-01-040.00",VILLA HILLS,"1085",RED MAPLE,".130",100000,499900,SINGLE FAMILY,"2023",2.1875
167,"001-00-01-041.00",VILLA HILLS,"1087",RED MAPLE,".130",100000,517700,SINGLE FAMILY,"2023",2.1875
168,"001-00-01-042.00",VILLA HILLS,"1089",RED MAPLE,".130",100000,499900,SINGLE FAMILY,"2023",2.1875
169,"001-00-01-043.00",VILLA HILLS,"1091",RED MAPLE,".130",100000,457400,SINGLE FAMILY,"2022",2.1875
170,"001-00-01-044.00",VILLA HILLS,"2675",WHITE PINE,".230",100000,465800,SINGLE FAMILY,"2022",2.1875
171,"001-00-01-045.00",VILLA HILLS,"2673",WHITE PINE,".180",100000,350000,SINGLE FAMILY,"2021",2.1875
172,"001-00-01-046.00",VILLA HILLS,"2671",WHITE PINE,".150",100000,425000,SINGLE FAMILY,"2021",2.1875
173,"001-00-01-047.00",VILLA HILLS,"2669",WHITE PINE,".170",100000,500000,SINGLE FAMILY,"2021",2.1875
174,"001-00-01-048.00",VILLA HILLS,"1092",BILLITER,".130",100000,414900,SINGLE FAMILY,"2021",2.1875
175,"001-00-01-049.00",VILLA HILLS,"1090",BILLITER,".130",100000,480400,SINGLE FAMILY,"2021",2.1875
176,"001-00-01-050.00",VILLA HILLS,"1088",BILLITER,".130",100000,475000,SINGLE FAMILY,"2022",2.1875
177,"001-00-01-051.00",VILLA HILLS,"1086",BILLITER,".130",100000,425000,SINGLE FAMILY,"2022",2.1875
178,"001-00-01-052.00",VILLA HILLS,"1084",BILLITER,".130",100000,599900,SINGLE FAMILY,"2021",2.1875
179,"001-00-01-053.00",VILLA HILLS,"2852",SHADBARK,".180",100000,0,NEW CONSTRUCTION IN PROGRESS,"0000",2.1875
180,"001-00-01-054.00",VILLA HILLS,"2854",SHADBARK,".130",100000,0,NEW CONSTRUCTION IN PROGRESS,"0000",2.1875
181,"001-00-01-055.00",VILLA HILLS,"2856",SHADBARK,".130",100000,0,NEW CONSTRUCTION IN PROGRESS,"1015",2.1875
182,"001-00-01-056.00",VILLA HILLS,"2858",SHADBARK,".130",100000,556600,NEW CONSTRUCTION IN PROGRESS,"2025",2.1875
183,"001-00-01-057.00",VILLA HILLS,"2860",SHADBARK,".130",100000,484800,SINGLE FAMILY,"2024",2.1875
184,"001-00-01-058.00",VILLA HILLS,"2862",SHADBARK,".130",100000,549900,SINGLE FAMILY,"2024",2.1875
185,"001-00-01-059.00",VILLA HILLS,"2864",SHADBARK,".130",100000,476400,SINGLE FAMILY,"2024",2.1875
186,"001-00-01-060.00",VILLA HILLS,"2866",SHADBARK,".130",100000,529900,SINGLE FAMILY,"2024",2.1875
187,"001-00-01-061.00",VILLA HILLS,"2687",WHITE PINE,".170",100000,536200,SINGLE FAMILY,"2024",2.1875
188,"001-00-01-062.00",VILLA HILLS,"2685",WHITE PINE,".160",100000,560100,SINGLE FAMILY,"2024",2.1875
189,"001-00-01-063.00",VILLA HILLS,"2683",WHITE PINE,".160",100000,613000,SINGLE FAMILY,"2024",2.1875
190,"001-00-01-064.00",VILLA HILLS,"2681",WHITE PINE,".180",100000,717700,SINGLE FAMILY,"2024",2.1875
191,"001-00-01-065.00",VILLA HILLS,"1094",RED MAPLE,".130",110000,0,VACANT LAND,"0000",2.1875
192,"001-00-01-066.00",VILLA HILLS,"1092",RED MAPLE,".130",110000,0,VACANT LAND,"0000",2.1875
193,"001-00-01-067.00",VILLA HILLS,"1090",RED MAPLE,".130",78600,0,VACANT LAND,"0000",2.1875
194,"001-00-01-068.00",VILLA HILLS,"1088",RED MAPLE,".130",78600,0,VACANT LAND,"0000",2.1875
195,"001-00-01-069.00",VILLA HILLS,"1086",RED MAPLE,".130",78600,0,VACANT LAND,"0000",2.1875
196,"001-00-01-070.00",VILLA HILLS,"1084",RED MAPLE,".130",100000,549900,SINGLE FAMILY,"2025",2.1875
197,"001-00-01-071.00",VILLA HILLS,"1082",RED MAPLE,".130",100000,524900,SINGLE FAMILY,"2024",2.1875
198,"001-00-01-072.00",VILLA HILLS,"1080",RED MAPLE,".160",100000,634200,SINGLE FAMILY,"2024",2.1875
199,"001-00-01-073.00",VILLA HILLS,"2769",WHITE PINE,".220",104700,590300,SINGLE FAMILY,"2023",2.1875
200,"001-00-01-074.00",VILLA HILLS,"2765",WHITE PINE,".190",100000,474900,SINGLE FAMILY,"2023",2.1875
201,"001-00-01-075.00",VILLA HILLS,"2761",WHITE PINE,".190",100000,630000,SINGLE FAMILY,"2022",2.1875
202,"001-00-01-076.00",VILLA HILLS,"2757",WHITE PINE,".190",100000,475000,SINGLE FAMILY,"2022",2.1875
203,"001-00-01-077.00",VILLA HILLS,"2753",WHITE PINE,".190",100000,422100,SINGLE FAMILY,"2022",2.1875
204,"001-00-01-078.00",VILLA HILLS,"2749",WHITE PINE,".190",100000,528000,SINGLE FAMILY,"2022",2.1875
205,"001-00-01-079.00",VILLA HILLS,"2745",WHITE PINE,".190",100000,529700,SINGLE FAMILY,"2023",2.1875
206,"001-00-01-080.00",VILLA HILLS,"2741",WHITE PINE,".190",118000,556100,SINGLE FAMILY,"2022",2.1875
207,"001-00-01-081.00",VILLA HILLS,"2737",WHITE PINE,".190",100000,447600,SINGLE FAMILY,"2021",2.1875
208,"001-00-01-082.00",VILLA HILLS,"2733",WHITE PINE,".190",100000,505100,SINGLE FAMILY,"2022",2.1875
209,"001-00-01-083.00",VILLA HILLS,"2729",WHITE PINE,".190",100000,468500,SINGLE FAMILY,"2022",2.1875
210,"001-00-01-084.00",VILLA HILLS,"2891",SHADBARK,".200",100000,609900,SINGLE FAMILY,"2022",2.1875
211,"001-00-01-085.00",VILLA HILLS,"2887",SHADBARK,".190",104700,546700,SINGLE FAMILY,"2024",2.1875
212,"001-00-01-086.00",VILLA HILLS,"2883",SHADBARK,".190",104700,727600,SINGLE FAMILY,"2024",2.1875
213,"001-00-01-087.00",VILLA HILLS,"2879",SHADBARK,".190",104700,491600,SINGLE FAMILY,"2024",2.1875
214,"001-00-01-088.00",VILLA HILLS,"2875",SHADBARK,".190",100000,484300,SINGLE FAMILY,"2023",2.1875
215,"001-00-01-089.00",VILLA HILLS,"2871",SHADBARK,".190",100000,599900,SINGLE FAMILY,"2023",2.1875
216,"001-00-01-090.00",VILLA HILLS,"2867",SHADBARK,".190",100000,539900,SINGLE FAMILY,"2023",2.1875
217,"001-00-01-091.00",VILLA HILLS,"2863",SHADBARK,".190",100000,624100,SINGLE FAMILY,"2024",2.1875
218,"001-00-01-092.00",VILLA HILLS,"2859",SHADBARK,".190",100000,549900,SINGLE FAMILY,"2024",2.1875
219,"001-00-01-093.00",VILLA HILLS,"2855",SHADBARK,".190",100000,574900,SINGLE FAMILY,"2024",2.1875
220,"001-00-01-094.00",VILLA HILLS,"2851",SHADBARK,".220",100000,527800,SINGLE FAMILY,"2024",2.1875
221,"001-00-01-095.00",VILLA HILLS,"2845",SHELLBARK,".220",100000,587400,SINGLE FAMILY,"2024",2.1875
222,"001-00-01-096.00",VILLA HILLS,"2841",SHELLBARK,".190",100000,571200,SINGLE FAMILY,"2023",2.1875
